wl,n,k
491.72,1.635967,0.003792
493.31,1.63526,0.003877
494.9,1.634568,0.003986
496.5,1.633893,0.004117
498.09,1.633238,0.004269
499.69,1.632604,0.004442
501.28,1.631994,0.004634
502.87,1.631411,0.004843
504.47,1.630856,0.005065
506.06,1.63033,0.005299
507.65,1.629835,0.005542
509.25,1.629372,0.005789
510.84,1.628941,0.006038
512.43,1.628541,0.006284
514.03,1.628172,0.006525
515.62,1.627832,0.006757
517.21,1.62752,0.006977
518.81,1.627232,0.007181
520.4,1.626967,0.007367
521.99,1.626721,0.007533
523.58,1.626491,0.007677
525.18,1.626272,0.007798
526.77,1.626061,0.007895
528.36,1.625854,0.007968
529.95,1.625647,0.008017
531.55,1.625436,0.008043
533.14,1.625217,0.008049
534.73,1.624987,0.008036
536.32,1.624742,0.008007
537.91,1.62448,0.007965
539.51,1.624198,0.007913
541.1,1.623896,0.007856
542.69,1.623571,0.007797
544.28,1.623223,0.00774
545.87,1.622852,0.00769
547.46,1.622459,0.00765
549.05,1.622044,0.007625
550.65,1.62161,0.007618
552.24,1.621158,0.007634
553.83,1.620691,0.007675
555.42,1.620212,0.007744
557.01,1.619725,0.007844
558.6,1.619233,0.007978
560.19,1.618741,0.008146
561.78,1.618252,0.008349
563.37,1.617771,0.008589
564.96,1.617302,0.008865
566.55,1.61685,0.009177
568.14,1.616419,0.009524
569.73,1.616013,0.009903
571.32,1.615637,0.010314
572.91,1.615293,0.010753
574.5,1.614985,0.011218
576.09,1.614717,0.011704
577.68,1.614491,0.01221
579.27,1.614309,0.012729
580.86,1.614173,0.013259
582.45,1.614084,0.013795
584.03,1.614043,0.014333
585.62,1.614051,0.014867
587.21,1.614107,0.015394
588.8,1.61421,0.015909
590.39,1.61436,0.016407
591.98,1.614554,0.016885
593.57,1.614791,0.017337
595.15,1.615069,0.017762
596.74,1.615384,0.018155
598.33,1.615734,0.018513
599.92,1.616115,0.018833
601.51,1.616523,0.019113
603.09,1.616956,0.019351
604.68,1.617409,0.019545
606.27,1.617877,0.019695
607.86,1.618358,0.019799
609.44,1.618847,0.019856
611.03,1.61934,0.019868
612.62,1.619834,0.019834
614.2,1.620323,0.019755
615.79,1.620806,0.019632
617.38,1.621278,0.019467
