wl,n,k
556.28,1.8435,0.00886
557.88,1.84174,0.00892
559.48,1.83998,0.00898
561.07,1.83822,0.00905
562.67,1.83646,0.00911
564.27,1.8347,0.00918
565.87,1.83294,0.00925
567.47,1.83118,0.00932
569.07,1.82943,0.00939
570.67,1.82767,0.00946
572.27,1.82591,0.00953
573.86,1.82415,0.0096
575.46,1.8224,0.00967
577.06,1.82064,0.00975
578.66,1.81888,0.00982
580.26,1.81713,0.0099
581.86,1.81537,0.00997
583.45,1.81362,0.01005
585.05,1.81186,0.01013
586.65,1.8101,0.01021
588.25,1.80834,0.01029
589.85,1.80659,0.01037
591.44,1.80483,0.01045
593.04,1.80307,0.01053
594.64,1.80131,0.01061
596.24,1.79955,0.0107
597.83,1.79779,0.01078
599.43,1.79603,0.01087
601.03,1.79426,0.01095
602.63,1.7925,0.01104
604.22,1.79074,0.01113
605.82,1.78897,0.01121
607.42,1.7872,0.0113
609.02,1.78544,0.01139
610.61,1.78367,0.01148
612.21,1.7819,0.01158
613.81,1.78012,0.01167
615.4,1.77835,0.01176
617,1.77658,0.01185
618.6,1.7748,0.01195
620.19,1.77302,0.01205
621.79,1.77125,0.01214
623.39,1.76947,0.01224
624.98,1.76768,0.01234
626.58,1.7659,0.01244
628.18,1.76411,0.01253
629.77,1.76233,0.01264
631.37,1.76054,0.01274
632.96,1.75875,0.01284
634.56,1.75695,0.01294
636.16,1.75516,0.01304
637.75,1.75336,0.01315
639.35,1.75156,0.01325
640.94,1.74976,0.01336
642.54,1.74796,0.01347
644.13,1.74615,0.01358
645.73,1.74434,0.01368
647.32,1.74253,0.01379
648.92,1.74072,0.0139
650.51,1.73891,0.01402
652.11,1.73709,0.01413
653.7,1.73527,0.01424
655.3,1.73345,0.01435
656.89,1.73162,0.01447
658.49,1.7298,0.01458
660.08,1.72797,0.0147
661.68,1.72613,0.01482
663.27,1.7243,0.01493
664.87,1.72246,0.01505
666.46,1.72062,0.01517
668.05,1.71877,0.01529
669.65,1.71693,0.01541
671.24,1.71508,0.01553
672.84,1.71323,0.01566
674.43,1.71137,0.01578
676.02,1.70951,0.0159
677.62,1.70765,0.01603
679.21,1.70579,0.01616
680.8,1.70392,0.01628
682.4,1.70205,0.01641
683.99,1.70017,0.01654
685.58,1.6983,0.01667
687.18,1.69642,0.0168
688.77,1.69453,0.01693
690.36,1.69265,0.01707
691.96,1.69076,0.0172
693.55,1.68886,0.01733
695.14,1.68697,0.01747
696.73,1.68507,0.0176
698.32,1.68316,0.01774
699.92,1.68125,0.01788
701.51,1.67934,0.01802
703.1,1.67743,0.01816
704.69,1.67551,0.0183
706.28,1.67359,0.01844
707.88,1.67166,0.01859
709.47,1.66973,0.01873
711.06,1.6678,0.01887
712.65,1.66586,0.01902
714.24,1.66392,0.01917
715.83,1.66198,0.01931
717.42,1.66003,0.01946
719.02,1.65807,0.01961
720.61,1.65612,0.01976
722.2,1.65416,0.01991
723.79,1.65219,0.02007
725.38,1.65023,0.02022
726.97,1.64825,0.02038
728.56,1.64627,0.02053
730.15,1.64429,0.02069
731.74,1.64231,0.02085
733.33,1.64032,0.021
734.92,1.63833,0.02117
736.51,1.63633,0.02133
738.1,1.63433,0.02149
739.69,1.63232,0.02165
741.28,1.63031,0.02182
742.87,1.6283,0.02198
744.46,1.62627,0.02215
746.04,1.62425,0.02231
747.63,1.62222,0.02248
749.22,1.62019,0.02265
750.81,1.61815,0.02282
752.4,1.61611,0.02299
753.99,1.61406,0.02317
755.58,1.61201,0.02334
757.16,1.60996,0.02352
758.75,1.6079,0.02369
760.34,1.60583,0.02387
761.93,1.60376,0.02405
763.52,1.60168,0.02423
765.1,1.5996,0.02441
766.69,1.59752,0.02459
768.28,1.59543,0.02477
769.87,1.59333,0.02496
771.45,1.59124,0.02515
773.04,1.58913,0.02533
774.63,1.58702,0.02552
776.21,1.58491,0.02571
777.8,1.58279,0.0259
779.39,1.58066,0.02609
780.97,1.57853,0.02628
782.56,1.5764,0.02648
784.14,1.57426,0.02668
785.73,1.57211,0.02687
787.32,1.56996,0.02707
788.9,1.5678,0.02727
790.49,1.56564,0.02747
792.07,1.56348,0.02767
793.66,1.5613,0.02788
795.24,1.55913,0.02808
796.83,1.55694,0.02829
798.41,1.55476,0.02849
800,1.55256,0.0287
801.58,1.55036,0.02891
803.17,1.54816,0.02913
804.75,1.54595,0.02934
806.33,1.54373,0.02955
807.92,1.54151,0.02977
809.5,1.53928,0.02999
811.09,1.53705,0.0302
812.67,1.53481,0.03042
814.25,1.53256,0.03064
815.84,1.53031,0.03087
817.42,1.52805,0.03109
819,1.52579,0.03132
820.58,1.52352,0.03154
822.17,1.52125,0.03177
823.75,1.51897,0.032
825.33,1.51668,0.03224
826.91,1.51439,0.03247
828.5,1.51209,0.0327
830.08,1.50978,0.03294
831.66,1.50747,0.03318
833.24,1.50516,0.03342
834.82,1.50283,0.03366
836.41,1.5005,0.0339
837.99,1.49817,0.03415
839.57,1.49582,0.03439
841.15,1.49347,0.03464
842.73,1.49112,0.03489
844.31,1.48876,0.03514
845.89,1.48639,0.03539
847.47,1.48401,0.03565
849.05,1.48163,0.0359
850.63,1.47924,0.03616
852.21,1.47685,0.03642
853.79,1.47445,0.03668
855.37,1.47204,0.03694
856.95,1.46962,0.03721
858.53,1.4672,0.03748
860.11,1.46477,0.03774
861.69,1.46234,0.03801
863.26,1.4599,0.03829
864.84,1.45745,0.03856
866.42,1.45499,0.03884
868,1.45253,0.03911
869.58,1.45006,0.03939
871.16,1.44758,0.03967
872.73,1.4451,0.03996
874.31,1.4426,0.04024
875.89,1.4401,0.04053
877.47,1.4376,0.04082
879.04,1.43508,0.04111
880.62,1.43256,0.0414
882.2,1.43003,0.0417
883.77,1.4275,0.04199
885.35,1.42496,0.04229
886.93,1.4224,0.04259
888.5,1.41985,0.0429
890.08,1.41728,0.0432
891.65,1.41471,0.04351
893.23,1.41213,0.04382
894.81,1.40954,0.04413
896.38,1.40694,0.04445
897.96,1.40434,0.04476
899.53,1.40172,0.04508
901.11,1.3991,0.0454
902.68,1.39647,0.04573
904.25,1.39384,0.04605
905.83,1.39119,0.04638
907.4,1.38854,0.04671
908.98,1.38588,0.04704
